,tweet_id,text,likes,retweeted,airline,string_text,subjectivity,polarity,sentiment,reason
0,1336979288470548481,"['achieve', 'kingdom', 'vision', 'sustainability', 'economic', 'power', 'social', 'development', 'knowledge', 'transfer']",0,False,Saudia airlines,achieve kingdom vision sustainability economic power social development knowledge transfer,0.13333333333333333,0.11666666666666667,Positive,"['economic', 'social']"
1,1336950027005161473,"['achieve', 'kingdom', 'vision', 'sustainability', 'economic', 'power', 'social', 'development', 'knowledge', 'transfer', 'aviation', 'industry', 'saei', 'saudiairlines', 'company', 'signed', 'memorandum', 'understanding', 'agreement', 'technics']",5,False,Saudia airlines,achieve kingdom vision sustainability economic power social development knowledge transfer aviation industry saei saudiairlines company signed memorandum understanding agreement technics,0.13333333333333333,0.11666666666666667,Positive,"['economic', 'social']"
6,1336650296962019329,"['happy', 'anniversary', 'best', 'airline', 'ever', 'always', 'saudia']",1,False,Saudia airlines,happy anniversary best airline ever always saudia,0.65,0.9,Positive,"['happy', 'best']"
7,1336586520313143298,"['realflow', 'allinone', 'software', 'start', 'grow', 'real', 'estate', 'investing', 'business', 'video', 'link']",0,False,Saudia airlines,realflow allinone software start grow real estate investing business video link,0.30000000000000004,0.2,Positive,['real']
8,1336552573650661377,"['airline', 'great', 'taste', 'travel', 'soft', 'feeling', 'friendly', 'crew', 'always', 'enjoyed', 'frequent']",0,False,Saudia airlines,airline great taste travel soft feeling friendly crew always enjoyed frequent,0.5199999999999999,0.375,Positive,"['great', 'soft', 'friendly', 'enjoyed', 'frequent']"
15,1336244070289711104,"['saudi', 'arabia', 'saudi', 'prince', 'strongly', 'criticizes', 'israel', 'bahrain', 'summit', 'although', 'prince', 'hold', 'offi']",1,False,Saudia airlines,saudi arabia saudi prince strongly criticizes israel bahrain summit although prince hold offi,0.7333333333333333,0.4333333333333333,Positive,['strongly']
16,1336232045308235776,"['saudia', 'covid', 'rule', 'eygpt', 'different', 'airline', 'others', 'rightly', 'allow', 'passenger']",0,False,Saudia airlines,saudia covid rule eygpt different airline others rightly allow passenger,0.5678571428571428,0.14285714285714285,Positive,['rightly']
19,1336008458798297090,"['realflow', 'allinone', 'software', 'start', 'grow', 'real', 'estate', 'investing', 'business', 'video', 'link']",1,False,Saudia airlines,realflow allinone software start grow real estate investing business video link,0.30000000000000004,0.2,Positive,['real']
26,1335795518572797953,"['airline', 'نخدمكم', 'serve', 'love', 'اليومالعالميلذويالإعاقة', 'الخطوطالسعودية', 'internationaldis']",0,False,Saudia airlines,airline نخدمكم serve love اليومالعالميلذويالإعاقة الخطوطالسعودية internationaldis,0.6,0.5,Positive,['love']
33,1335436167442026496,"['sorry', 'saudia', 'arabian', 'able', 'face', 'economic', 'loss', 'able', 'follows', 'king']",0,False,Saudia airlines,sorry saudia arabian able face economic loss able follows king,0.6125,0.175,Positive,"['sorry', 'able', 'economic', 'able']"
