,Unnamed: 0,tweet_id,text,likes,airline,string_text,subjectivity,polarity,sentiment,reason
0,0,1336979288470548481,"['achieve', 'kingdom', 'vision', 'sustainability', 'economic', 'power', 'social', 'development', 'knowledge', 'transfer']",0,Saudia airlines,achieve kingdom vision sustainability economic power social development knowledge transfer,0.13333333333333333,0.11666666666666667,Positive,"['economic', 'social']"
1,1,1336950027005161473,"['achieve', 'kingdom', 'vision', 'sustainability', 'economic', 'power', 'social', 'development', 'knowledge', 'transfer', 'aviation', 'industry', 'saei', 'saudiairlines', 'company', 'signed', 'memorandum', 'understanding', 'agreement', 'technics']",5,Saudia airlines,achieve kingdom vision sustainability economic power social development knowledge transfer aviation industry saei saudiairlines company signed memorandum understanding agreement technics,0.13333333333333333,0.11666666666666667,Positive,"['economic', 'social']"
2,6,1336650296962019329,"['happy', 'anniversary', 'best', 'airline', 'ever', 'always', 'saudia']",1,Saudia airlines,happy anniversary best airline ever always saudia,0.65,0.9,Positive,"['happy', 'best']"
3,7,1336586520313143298,"['realflow', 'allinone', 'software', 'start', 'grow', 'real', 'estate', 'investing', 'business', 'video', 'link']",0,Saudia airlines,realflow allinone software start grow real estate investing business video link,0.30000000000000004,0.2,Positive,['real']
4,8,1336552573650661377,"['airline', 'great', 'taste', 'travel', 'soft', 'feeling', 'friendly', 'crew', 'always', 'enjoyed', 'frequent']",0,Saudia airlines,airline great taste travel soft feeling friendly crew always enjoyed frequent,0.5199999999999999,0.375,Positive,"['great', 'soft', 'friendly', 'enjoyed', 'frequent']"
5,15,1336244070289711104,"['saudi', 'arabia', 'saudi', 'prince', 'strongly', 'criticizes', 'israel', 'bahrain', 'summit', 'although', 'prince', 'hold', 'offi']",1,Saudia airlines,saudi arabia saudi prince strongly criticizes israel bahrain summit although prince hold offi,0.7333333333333333,0.4333333333333333,Positive,['strongly']
6,16,1336232045308235776,"['saudia', 'covid', 'rule', 'eygpt', 'different', 'airline', 'others', 'rightly', 'allow', 'passenger']",0,Saudia airlines,saudia covid rule eygpt different airline others rightly allow passenger,0.5678571428571428,0.14285714285714285,Positive,['rightly']
7,19,1336008458798297090,"['realflow', 'allinone', 'software', 'start', 'grow', 'real', 'estate', 'investing', 'business', 'video', 'link']",1,Saudia airlines,realflow allinone software start grow real estate investing business video link,0.30000000000000004,0.2,Positive,['real']
8,26,1335795518572797953,"['airline', 'نخدمكم', 'serve', 'love', 'اليومالعالميلذويالإعاقة', 'الخطوطالسعودية', 'internationaldis']",0,Saudia airlines,airline نخدمكم serve love اليومالعالميلذويالإعاقة الخطوطالسعودية internationaldis,0.6,0.5,Positive,['love']
9,33,1335436167442026496,"['sorry', 'saudia', 'arabian', 'able', 'face', 'economic', 'loss', 'able', 'follows', 'king']",0,Saudia airlines,sorry saudia arabian able face economic loss able follows king,0.6125,0.175,Positive,"['sorry', 'able', 'economic', 'able']"
10,35,1335290883013562372,"['summit', 'welcome', 'saudi', 'arabia', 'انطلاقةنحومستقبلعظيم', 'مجموعةالعشرين', 'takingofftoagreatfuture', 'saudi']",0,Saudia airlines,summit welcome saudi arabia انطلاقةنحومستقبلعظيم مجموعةالعشرين takingofftoagreatfuture saudi,0.9,0.8,Positive,['welcome']
11,38,1334936986197614598,"['saudiarabia', 'saudia', 'qatar', 'qatar', 'gulfkanawut', 'المصالحةالخليجية', 'saudi', 'arabia', 'significant', 'progress']",0,Saudia airlines,saudiarabia saudia qatar qatar gulfkanawut المصالحةالخليجية saudi arabia significant progress,0.875,0.375,Positive,['significant']
12,40,1334803876038537218,"['sorry', 'true', 'actually', 'showing', 'true', 'nature', 'pakistani', 'abuse']",0,Saudia airlines,sorry true actually showing true nature pakistani abuse,0.6,0.04999999999999999,Positive,"['sorry', 'true', 'true']"
13,41,1334786143230029824,"['sorry', 'true', 'actually', 'showing', 'true', 'nature', 'pakistani', 'abuse']",1,Saudia airlines,sorry true actually showing true nature pakistani abuse,0.6,0.04999999999999999,Positive,"['sorry', 'true', 'true']"
14,47,1334437259500793857,"['نخدمكم', 'serve', 'love', 'اليومالعالميلذويالإعاقة', 'الخطوطالسعودية']",160,Saudia airlines,نخدمكم serve love اليومالعالميلذويالإعاقة الخطوطالسعودية,0.6,0.5,Positive,['love']
15,50,1334194717492350976,"['called', 'royal', 'infection', 'region', 'saudia', 'specially', 'terrorist', 'state']",0,Saudia airlines,called royal infection region saudia specially terrorist state,0.5714285714285714,0.35714285714285715,Positive,['specially']
16,59,1333895634999504897,"['first', 'state', 'second', 'state', 'third', 'state', 'finally', 'gsummit', 'saudia', 'presidency', 'global', 'economy']",1,Saudia airlines,first state second state third state finally gsummit saudia presidency global economy,0.26666666666666666,0.05,Positive,['first']
17,60,1333857613017083906,"['saudi', 'arabia', 'playing', 'turkey', 'young', 'prince', 'realize', 'turkey', 'trustworth']",1,Saudia airlines,saudi arabia playing turkey young prince realize turkey trustworth,0.4,0.1,Positive,['young']
18,61,1333819527759622144,"['iran', 'foreign', 'minister', 'zarif', 'desperate', 'blame', 'kingdom', 'saudiarabia', 'anything', 'negative', 'happens']",0,Saudia airlines,iran foreign minister zarif desperate blame kingdom saudiarabia anything negative happens,0.5083333333333333,-0.3416666666666666,Negative,"['foreign', 'desperate', 'negative']"
19,62,1333682331748618245,"['saudia', 'cargo', 'ready', 'transport', 'receive', 'coronavirus', 'vaccine', 'transport', 'coronavirus', 'covidvaccine', 'saudia']",0,Saudia airlines,saudia cargo ready transport receive coronavirus vaccine transport coronavirus covidvaccine saudia,0.5,0.2,Positive,['ready']
20,64,1333676832013639680,"['ready', 'transport', 'receive', 'coronavirus', 'vaccine', 'transport', 'coronavirus', 'covidvaccine', 'saudia']",2,Saudia airlines,ready transport receive coronavirus vaccine transport coronavirus covidvaccine saudia,0.5,0.2,Positive,['ready']
21,65,1336950027005161473,"['achieve', 'kingdom', 'vision', 'sustainability', 'economic', 'power', 'social', 'development', 'knowledge', 'transf']",5,Saudia airlines,achieve kingdom vision sustainability economic power social development knowledge transf,0.13333333333333333,0.11666666666666667,Positive,"['economic', 'social']"
22,67,1337145735167369216,"['glad', 'elite', 'lifetime', 'titanium', 'ambassador', 'thank', 'silver', 'status', 'best']",0,United Airlines,glad elite lifetime titanium ambassador thank silver status best,0.65,0.75,Positive,"['glad', 'best']"
23,71,1337085055844245505,"['united', 'rise', 'skywalker', 'special', 'livery', 'departing', 'unitedairlines']",0,United Airlines,united rise skywalker special livery departing unitedairlines,0.5714285714285714,0.35714285714285715,Positive,['special']
24,74,1337069210606956547,"['unitedairlines', 'green']",0,United Airlines,unitedairlines green,0.3,-0.2,Negative,['green']
25,78,1337060987883712512,"['toilet', 'plume', 'dirty', 'secret', 'airline', 'dont', 'address', 'happy', 'talk', 'cleaning', 'mask', 'middle', 'seat']",0,United Airlines,toilet plume dirty secret airline dont address happy talk cleaning mask middle seat,0.5,-0.046666666666666634,Negative,"['toilet', 'dirty', 'secret', 'happy']"
26,79,1337052730301554695,"['travelagentmall', 'brings', 'best', 'airfare', 'deal', 'united', 'airline', 'book', 'exclusive']",0,United Airlines,travelagentmall brings best airfare deal united airline book exclusive,0.3,1.0,Positive,['best']
27,80,1337049251126325249,"['unitedairlines', 'green', 'carbon', 'capture']",0,United Airlines,unitedairlines green carbon capture,0.3,-0.2,Negative,['green']
28,81,1337030421977178113,"['make', 'feel', 'real', 'safe', 'boarding', 'crew', 'even', 'mask']",0,United Airlines,make feel real safe boarding crew even mask,0.75,0.75,Positive,"['real', 'safe']"
29,84,1336983362557251584,"['passenger', 'united', 'airline', 'soon', 'able', 'access', 'airline', 'automated', 'customer', 'service', 'ondemand']",0,United Airlines,passenger united airline soon able access airline automated customer service ondemand,0.625,0.5,Positive,['able']
30,86,1336844372688551937,"['correction', 'support', 'active', 'duty', 'member', 'veteran', 'dont', 'recognize', 'reserve', 'national']",0,United Airlines,correction support active duty member veteran dont recognize reserve national,0.3,-0.06666666666666668,Negative,['active']
31,94,1336679646541340672,"['hallmark', 'moment', 'boeing', 'delivered', 'first', 'boeingmax', 'aircraft', 'unitedairlines', 'since', 'grounding']",1,United Airlines,hallmark moment boeing delivered first boeingmax aircraft unitedairlines since grounding,0.3333333333333333,0.25,Positive,['first']
32,98,1336671965113954304,"['united', 'different', 'angle', 'photo', 'taken', 'nearly', 'year', 'inaugural', 'flight', 'united', 'uniteda']",0,United Airlines,united different angle photo taken nearly year inaugural flight united uniteda,0.5,0.05,Positive,['nearly']
33,105,1336527523216322563,"['unitedairlines', 'flight', 'loved']",2,United Airlines,unitedairlines flight loved,0.8,0.7,Positive,['loved']
34,108,1336486755042816000,"['unitedairlines', 'best', 'airline', 'used', 'extremely', 'professional', 'friendly', 'believe', 'ever']",0,United Airlines,unitedairlines best airline used extremely professional friendly believe ever,0.3,0.4916666666666667,Positive,"['best', 'extremely', 'professional', 'friendly']"
35,110,1336469575643361281,"['aware', 'come', 'unitedairlines', 'damage', 'done', 'better', 'none', 'zero', 'excuse', 'even', 'happened']",0,United Airlines,aware come unitedairlines damage done better none zero excuse even happened,0.26666666666666666,0.2333333333333333,Positive,"['aware', 'better', 'excuse']"
36,113,1336449950327005205,"['unitedairlines', 'taking', 'delivery', 'first', 'boeingmax', 'since', 'cleared', 'last', 'month', 'boeing']",0,United Airlines,unitedairlines taking delivery first boeingmax since cleared last month boeing,0.2,0.125,Positive,['first']
37,114,1336445595108724736,"['shiny', 'tail', 'glistening', 'midday', 'great', 'tailtuesday', 'come']",7,United Airlines,shiny tail glistening midday great tailtuesday come,0.75,0.8,Positive,['great']
38,115,1336440971769249792,"['unitedairlines', 'taking', 'delivery', 'first', 'boeingmax', 'since', 'cleared', 'last', 'month']",8,United Airlines,unitedairlines taking delivery first boeingmax since cleared last month,0.2,0.125,Positive,['first']
